anio_mundial,nombre_grupo,nombre_pais,posicion_grupo,pts,pj,pg,pe,pp,gf,gc,dif,clasifico
1974,Grupo 4,Italia,3,3,3,1,1,1,5,4,1,0
1974,Grupo 4,Haití,4,0,3,0,0,3,2,14,-12,0
1974,Grupo A,Países Bajos,1,6,3,3,0,0,8,0,8,1
1974,Grupo A,Brasil,2,4,3,2,0,1,3,3,0,1
1974,Grupo A,Alemania Oriental,3,1,3,0,1,2,1,4,-3,0
1974,Grupo A,Argentina,4,1,3,0,1,2,2,7,-5,0
1974,Grupo B,Alemania Occidental,1,6,3,3,0,0,7,2,5,1
1974,Grupo B,Polonia,2,4,3,2,0,1,3,2,1,1
1974,Grupo B,Suecia,3,2,3,1,0,2,4,6,-2,0
1974,Grupo B,Yugoslavia,4,0,3,0,0,3,2,6,-4,0
1978,Grupo 1,Italia,1,6,3,3,0,0,6,2,4,1
1978,Grupo 1,Argentina,2,4,3,2,0,1,4,3,1,1
1978,Grupo 1,Francia,3,2,3,1,0,2,5,5,0,0
1978,Grupo 1,Hungría,4,0,3,0,0,3,3,8,-5,0
1978,Grupo 2,Polonia,1,5,3,2,1,0,4,1,3,1
1978,Grupo 2,Alemania Occidental,2,4,3,1,2,0,6,0,6,1
1978,Grupo 2,Túnez,3,3,3,1,1,1,3,2,1,0
1978,Grupo 2,México,4,0,3,0,0,3,2,12,-10,0
1978,Grupo 3,Austria,1,4,3,2,0,1,3,2,1,1
1978,Grupo 3,Brasil,2,4,3,1,2,0,2,1,1,1
1978,Grupo 3,España,3,3,3,1,1,1,2,2,0,0
1978,Grupo 3,Suecia,4,1,3,0,1,2,1,3,-2,0
1978,Grupo 4,Perú,1,5,3,2,1,0,7,2,5,1
1978,Grupo 4,Países Bajos,2,3,3,1,1,1,5,3,2,1
1978,Grupo 4,Escocia,3,3,3,1,1,1,5,6,-1,0
1978,Grupo 4,Irán,4,1,3,0,1,2,2,8,-6,0
1978,Grupo A,Países Bajos,1,5,3,2,1,0,9,4,5,1
1978,Grupo A,Italia,2,3,3,1,1,1,2,2,0,1
1978,Grupo A,Alemania Occidental,3,2,3,0,2,1,4,5,-1,0
1978,Grupo A,Austria,4,2,3,1,0,2,4,8,-4,0
1978,Grupo B,Argentina,1,5,3,2,1,0,8,0,8,1
1978,Grupo B,Brasil,2,5,3,2,1,0,6,1,5,1
1978,Grupo B,Polonia,3,2,3,1,0,2,2,5,-3,0
1978,Grupo B,Perú,4,0,3,0,0,3,0,10,-10,0
1982,Grupo A,Polonia,1,4,3,1,2,0,5,1,4,1
1982,Grupo A,Italia,2,3,3,0,3,0,2,2,0,1
1982,Grupo A,Camerún,3,3,3,0,3,0,1,1,0,0
1982,Grupo A,Perú,4,2,3,0,2,1,2,6,-4,0
1982,Grupo B,Alemania Occidental,1,4,3,2,0,1,6,3,3,1
1982,Grupo B,Austria,2,4,3,2,0,1,3,1,2,1
1982,Grupo B,Argelia,3,4,3,2,0,1,5,5,0,0
1982,Grupo B,Chile,4,0,3,0,0,3,3,8,-5,0
1982,Grupo C,Bélgica,1,5,3,2,1,0,3,1,2,1
1982,Grupo C,Argentina,2,4,3,2,0,1,6,2,4,1
1982,Grupo C,Hungría,3,3,3,1,1,1,12,6,6,0
1982,Grupo C,El Salvador,4,0,3,0,0,3,1,13,-12,0
1982,Grupo D,Inglaterra,1,6,3,3,0,0,6,1,5,1
1982,Grupo D,Francia,2,3,3,1,1,1,6,5,1,1
1982,Grupo D,Checoslovaquia,3,2,3,0,2,1,2,4,-2,0
1982,Grupo D,Kuwait,4,1,3,0,1,2,2,6,-4,0
1982,Grupo E,Irlanda del Norte,1,4,3,1,2,0,2,1,1,1
1982,Grupo E,España,2,3,3,1,1,1,3,3,0,1
1982,Grupo E,Yugoslavia,3,3,3,1,1,1,2,2,0,0
1982,Grupo E,Honduras,4,2,3,0,2,1,2,3,-1,0
1982,Grupo F,Brasil,1,6,3,3,0,0,10,2,8,1
1982,Grupo F,URSS,2,3,3,1,1,1,6,4,2,1
1982,Grupo F,Escocia,3,3,3,1,1,1,8,8,0,0
1982,Grupo F,Nueva Zelanda,4,0,3,0,0,3,2,12,-10,0
1982,Grupo 1,Polonia,1,3,2,1,1,0,3,0,3,1
1982,Grupo 1,URSS,2,3,2,1,1,0,1,0,1,0
1982,Grupo 1,Bélgica,3,0,2,0,0,2,0,4,-4,0
1982,Grupo 2,Alemania Occidental,1,3,2,1,1,0,2,1,1,1
1982,Grupo 2,Inglaterra,2,2,2,0,2,0,0,0,0,0
1982,Grupo 2,España,3,1,2,0,1,1,1,2,-1,0
1982,Grupo 3,Italia,1,4,2,2,0,0,5,3,2,1
1982,Grupo 3,Brasil,2,2,2,1,0,1,5,4,1,0
1982,Grupo 3,Argentina,3,0,2,0,0,2,2,5,-3,0
1982,Grupo 4,Francia,1,4,2,2,0,0,5,1,4,1
1982,Grupo 4,Austria,2,1,2,0,1,1,2,3,-1,0
1982,Grupo 4,Irlanda del Norte,3,1,2,0,1,1,3,6,-3,0
